ProductName,Category,Review,Rating,PriceINR,WouldRecommend
Boat Airdopes 141,Electronics,"Good sound and long battery life",4,?1299,Yes
Redmi Note 13 5G,Electronics,"Great display and smooth performance",5,?17999,Yes
Samsung 25W Charger,Electronics,"Fast charging and sturdy build",4,?1499,Yes
HP Wireless Mouse 200,Electronics,"Comfortable to use but scroll is average",3,?799,Maybe
OnePlus Nord Buds 2r,Electronics,"Excellent bass and clear calls",5,?2199,Yes
Mi Power Bank 10000mAh,Electronics,"Useful backup but a bit heavy",4,?1199,Yes
Logitech K380 Keyboard,Electronics,"Compact and very reliable keyboard",5,?2999,Yes
SanDisk 128GB Pendrive,Electronics,"Good speed but cap is loose",3,?899,Maybe
Sony WH-CH520 Headphones,Electronics,"Very comfortable with balanced audio",4,?4499,Yes
Realme Smart Watch S,Electronics,"Nice features but app can improve",3,?3999,Maybe
Prestige Pressure Cooker 5L,Kitchen,"Strong body and cooks quickly",5,?2499,Yes
Pigeon Non-Stick Tawa,Kitchen,"Heats evenly and easy to clean",4,?699,Yes
Milton Water Bottle 1L,Kitchen,"Good quality and leak proof",4,?399,Yes
Butterfly Mixer Grinder,Kitchen,"Powerful motor but noisy",3,?3299,Maybe
Borosil Glass Lunch Box,Kitchen,"Premium quality and practical size",5,?999,Yes
Hawkins Frying Pan,Kitchen,"Solid pan with good coating",4,?1199,Yes
Cello Knife Set,Kitchen,"Sharp knives but handle grip is basic",3,?599,Maybe
AGARO Electric Kettle,Kitchen,"Boils water very fast",5,?1499,Yes
Sujata Juicer Mixer,Kitchen,"Excellent performance for daily use",5,?5899,Yes
Bajaj Toaster 2 Slice,Kitchen,"Works fine but outer body heats",3,?1799,Maybe
Godrej Single Door Fridge,Home,"Cooling is fast and silent",5,?18499,Yes
Sleepyhead Queen Mattress,Home,"Very comfortable and good support",4,?12499,Yes
Philips LED Bulb 12W,Home,"Bright light and low power usage",5,?249,Yes
Atomberg Ceiling Fan,Home,"Runs quietly and saves electricity",5,?3799,Yes
Wakefit Study Table,Home,"Sturdy table and easy assembly",4,?4599,Yes
Nilkamal Plastic Chair,Home,"Strong and lightweight",4,?899,Yes
IKEA Storage Box,Home,"Useful organizer but lid fit is tight",3,?699,Maybe
Urban Ladder Shoe Rack,Home,"Looks neat and spacious",4,?2999,Yes
Kent Water Purifier,Home,"Clean water and easy service",5,?10999,Yes
Eureka Forbes Vacuum Cleaner,Home,"Powerful suction but slightly loud",4,?7499,Yes
Levi's Men's T-Shirt,Fashion,"Soft fabric and perfect fitting",5,?1299,Yes
Biba Women's Kurta,Fashion,"Beautiful print and comfortable",4,?1899,Yes
Puma Running Shoes,Fashion,"Very comfortable for workouts",5,?3499,Yes
Wildcraft Backpack,Fashion,"Good compartments and durable",4,?2199,Yes
Titan Analog Watch,Fashion,"Elegant look and premium feel",5,?5499,Yes
Fastrack Sunglasses,Fashion,"Stylish design but case quality is average",3,?1599,Maybe
US Polo Casual Shirt,Fashion,"Nice material and good stitching",4,?2299,Yes
Jockey Cotton Briefs,Fashion,"Comfortable for daily wear",4,?699,Yes
Allen Solly Trousers,Fashion,"Good fit but wrinkles quickly",3,?2499,Maybe
Hidesign Leather Wallet,Fashion,"Premium finish and long lasting",5,?2799,Yes
Mamaearth Ubtan Face Wash,Beauty,"Gentle on skin and refreshing",4,?299,Yes
Lakme Kajal Eyeconic,Beauty,"Smooth application and long stay",5,?199,Yes
Maybelline Fit Me Foundation,Beauty,"Natural finish and easy to blend",5,?549,Yes
Nivea Body Lotion,Beauty,"Moisturizes well but fragrance is strong",3,?349,Maybe
Biotique Shampoo,Beauty,"Cleans scalp nicely and mild formula",4,?299,Yes
Nykaa Matte Lipstick,Beauty,"Rich color and good staying power",4,?399,Yes
Himalaya Neem Face Pack,Beauty,"Good for oily skin",4,?149,Yes
WOW Aloe Vera Gel,Beauty,"Multipurpose and skin friendly",5,?249,Yes
L'Oreal Hair Serum,Beauty,"Makes hair smooth and shiny",5,?499,Yes
Minimalist Sunscreen SPF 50,Beauty,"No white cast and light texture",5,?399,Yes
