index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,imdb_rating,cast,crew,director
0,26139144,Action,https://example.com/kgf-chapter-2,IND0001,action popular indian audience,kn,KGF: Chapter 2,KGF: Chapter 2 is a popular action movie watched by Indian audiences.,81.289,Indian Popular Cinema,India,2022-01-01,109328638,168,Kannada,Released,Top watched Action title,KGF: Chapter 2,8.3,231168,8.2,Popular Cast,Main Unit,Prashanth Neel
1,32992954,Action,https://example.com/war,IND0002,action popular indian audience,hi,War,War is a popular action movie watched by Indian audiences.,82.424,Indian Popular Cinema,India,2019-02-02,245514132,156,Hindi,Released,Top watched Action title,War,6.6,260851,6.5,Popular Cast,Main Unit,Siddharth Anand
2,71791247,Adventure,https://example.com/baahubali-2-the-conclusion,IND0003,adventure popular indian audience,te,Baahubali 2: The Conclusion,Baahubali 2: The Conclusion is a popular adventure movie watched by Indian audiences.,96.714,Indian Popular Cinema,India,2017-03-03,345102335,167,Telugu,Released,Top watched Adventure title,Baahubali 2: The Conclusion,8.0,13667,8.2,Popular Cast,Main Unit,S. S. Rajamouli
3,61470839,Adventure,https://example.com/rrr,IND0004,adventure popular indian audience,te,RRR,RRR is a popular adventure movie watched by Indian audiences.,72.912,Indian Popular Cinema,India,2022-04-04,134916759,185,Telugu,Released,Top watched Adventure title,RRR,7.7,405908,7.8,Popular Cast,Main Unit,S. S. Rajamouli
4,9682163,Comedy,https://example.com/hera-pheri,IND0005,comedy popular indian audience,hi,Hera Pheri,Hera Pheri is a popular comedy movie watched by Indian audiences.,78.83,Indian Popular Cinema,India,2000-05-05,41537241,156,Hindi,Released,Top watched Comedy title,Hera Pheri,8.3,399285,8.2,Popular Cast,Main Unit,Priyadarshan
5,63302796,Comedy,https://example.com/3-idiots,IND0006,comedy popular indian audience,hi,3 Idiots,3 Idiots is a popular comedy movie watched by Indian audiences.,88.593,Indian Popular Cinema,India,2009-06-06,126238393,171,Hindi,Released,Top watched Comedy title,3 Idiots,8.4,184453,8.4,Popular Cast,Main Unit,Rajkumar Hirani
6,53452071,Drama,https://example.com/taare-zameen-par,IND0007,drama popular indian audience,hi,Taare Zameen Par,Taare Zameen Par is a popular drama movie watched by Indian audiences.,69.246,Indian Popular Cinema,India,2007-07-07,103289588,165,Hindi,Released,Top watched Drama title,Taare Zameen Par,8.4,400508,8.3,Popular Cast,Main Unit,Aamir Khan
7,6623891,Drama,https://example.com/the-kashmir-files,IND0008,drama popular indian audience,hi,The Kashmir Files,The Kashmir Files is a popular drama movie watched by Indian audiences.,78.646,Indian Popular Cinema,India,2022-08-08,29031370,170,Hindi,Released,Top watched Drama title,The Kashmir Files,8.7,301408,8.6,Popular Cast,Main Unit,Vivek Agnihotri
8,24279975,Romance,https://example.com/dilwale-dulhania-le-jayenge,IND0009,romance popular indian audience,hi,Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge is a popular romance movie watched by Indian audiences.,92.885,Indian Popular Cinema,India,2000-09-09,69571353,189,Hindi,Released,Top watched Romance title,Dilwale Dulhania Le Jayenge,8.0,31471,8.0,Popular Cast,Main Unit,Aditya Chopra
9,14015774,Romance,https://example.com/sita-ramam,IND0010,romance popular indian audience,te,Sita Ramam,Sita Ramam is a popular romance movie watched by Indian audiences.,92.299,Indian Popular Cinema,India,2022-10-10,87563243,158,Telugu,Released,Top watched Romance title,Sita Ramam,8.7,121346,8.6,Popular Cast,Main Unit,Hanu Raghavapudi
